player_id,team,player,interceptionsAVG,interceptionsINT,interceptionsTD,interceptionsYDS,kickReturnsAVG,kickReturnsLONG,kickReturnsNO,kickReturnsTD,kickReturnsYDS,kickingFGA,kickingFGM,kickingLONG,kickingPCT,kickingPTS,kickingXPA,kickingXPM,passingATT,passingCOMPLETIONS,passingINT,passingPCT,passingTD,passingYDS,passingYPA,puntReturnsAVG,puntReturnsLONG,puntReturnsNO,puntReturnsTD,puntReturnsYDS,puntingIn 20,puntingLONG,puntingNO,puntingTB,puntingYDS,puntingYPP,receivingLONG,receivingREC,receivingTD,receivingYDS,receivingYPR,rushingCAR,rushingLONG,rushingTD,rushingYDS,rushingYPC
103719,Colorado,Ron Monteilh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,28.0,0.0,242.0,8.6,1.0,7.0,0.0,7.0,7.0
103726,Oregon State,Dwight Wright Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,20.0,2.0,245.0,12.3,209.0,55.0,6.0,784.0,3.8
103727,Oregon State,Aric Williams,13.2,5.0,0.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103728,Oregon State,Mitch Meeuwsen,2.0,6.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103744,Oregon State,Pat Loney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,2.0,56.0,7.0,,,,,
103751,Memphis,Danny Wimprine,,,,,,,,,,,,,,,,,355.0,199.0,10.0,0.561,20.0,2545.0,7.2,,,,,,0.0,52.0,20.0,0.0,718.0,35.9,9.0,1.0,0.0,9.0,9.0,51.0,12.0,2.0,95.0,1.9
103760,Memphis,Robert Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,7.0,2.0,113.0,16.1,14.0,11.0,2.0,62.0,4.4
103783,Memphis,Tavarious Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,15.0,1.0,158.0,10.5,2.0,1.0,0.0,-1.0,-0.5
103795,Stanford,Ryan Eklund,,,,,,,,,,,,,,,,,5.0,2.0,1.0,0.4,0.0,32.0,6.4,,,,,,,,,,,,,,,,,,,,,
103797,Stanford,Greg Camarillo,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,,,,,,,36.0,19.0,0.0,294.0,15.5,1.0,0.0,0.0,-8.0,-8.0
